Year,SLIE,Breakup_DOY,Breakup_Uncertainty,Community,Latitude,Longitude,Region,Mean_Breakup_DOY,Mean_SLIE,Breakup_Anomaly,SLIE_Anomaly
2008,16.2794276238383,151.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,4.543478260869563,1.4054649562266484
2009,12.3138373606882,157.0,4.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,10.043478260869563,-2.5601253069234495
2010,29.5654018747867,164.0,12.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,17.043478260869563,14.691439207175051
2011,10.8482729644803,152.0,2.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,5.043478260869563,-4.02568970313135
2012,28.9164337003546,164.0,4.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,17.043478260869563,14.042471032742949
2013,12.5180415360521,160.0,6.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,13.043478260869563,-2.3559211315595494
2014,13.5794934692993,134.5,9.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-12.456521739130437,-1.2944691983123509
2015,12.3103638248218,135.5,13.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-11.456521739130437,-2.5635988427898493
2016,14.8165898758953,131.0,6.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-15.956521739130437,-0.057372791716350235
2017,22.29325756241,139.5,1.0,Stebbins,63.5119,-162.2744,Southern,146.95652173913044,14.87396266761165,-7.456521739130437,7.419294894798348
